	IBM	Stock Price	Cash	Portfolio Value
2015-03-17	100	148.781922	28800.3741	43678.5663
2015-03-18	100	151.48342	28800.3741	43948.7161
2015-03-19	0	151.48342	43948.7161	43948.7161
2015-03-20	100	154.393471	28509.369	43948.7161
2015-03-23	100	156.052291	28509.369	44114.5981
2015-03-24	100	154.507214	28509.369	43960.0904
2015-03-25	100	150.905202	28509.369	43599.8892
2015-03-26	0	152.222778	43731.6468	43731.6468
2015-03-27	0	152.042676	43731.6468	43731.6468
2015-03-30	-100	154.194406	59151.0874	43731.6468
2015-03-31	0	152.137471	43937.3403	43937.3403
2015-04-01	0	150.88624	43937.3403	43937.3403
2015-04-02	0	152.090073	43937.3403	43937.3403
2015-04-06	-100	153.597226	59297.0629	43937.3403
2015-04-07	-100	153.625676	59297.0629	43934.4953
2015-04-08	0	153.417138	43955.3491	43955.3491
2015-04-09	100	153.881598	28567.1893	43955.3491
2015-04-10	100	154.374509	28567.1893	44004.6402
2015-04-13	100	153.919522	28567.1893	43959.1415
2015-04-14	100	153.843689	28567.1893	43951.5582
2015-04-15	100	155.578342	28567.1893	44125.0235
2015-04-16	100	154.630445	28567.1893	44030.2338
2015-04-17	100	152.298612	28567.1893	43797.0505
2015-04-20	100	157.502572	28567.1893	44317.4465
2015-04-21	0	155.701559	44137.3452	44137.3452
2015-04-22	100	156.744251	28462.9201	44137.3452
2015-04-23	100	161.369993	28462.9201	44599.9194
2015-04-24	0	160.933954	44556.3155	44556.3155
2015-04-27	100	161.834454	28372.8701	44556.3155
2015-04-28	100	164.858247	28372.8701	44858.6948
2015-04-29	0	165.313234	44904.1935	44904.1935
2015-04-30	100	162.365274	28667.6661	44904.1935
2015-05-01	100	164.621273	28667.6661	45129.7934
2015-05-04	0	164.905645	45158.2306	45158.2306
2015-05-05	-100	164.062017	61564.4323	45158.2306
2015-05-06	-100	162.409741	61564.4323	45323.4582
2015-05-07	0	163.307509	45233.6814	45233.6814
2015-05-08	100	164.921566	28741.5248	45233.6814
2015-05-11	100	163.431659	28741.5248	45084.6907
2015-05-12	0	162.887276	45030.2524	45030.2524
2015-05-13	100	164.539544	28576.298	45030.2524
2015-05-14	0	166.230023	45199.3003	45199.3003
2015-05-15	0	165.475509	45199.3003	45199.3003
2015-05-18	0	165.284498	45199.3003	45199.3003
2015-05-19	100	165.685625	28630.7378	45199.3003
2015-05-20	100	165.953044	28630.7378	45226.0422
2015-05-21	0	165.551916	45185.9294	45185.9294
